id,brand,model,model_year,milage,fuel_type,engine,transmission,ext_col,int_col,accident,clean_title,price
1378,Mercedes-Benz,GLA-Class GLA 45 AMG,2015,"80,300 mi.",Gasoline,355.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,Black,At least 1 accident or damage reported,Yes,22000.0
1379,Audi,S4 3.0 Prestige,2012,"98,400 mi.",Gasoline,333.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,7-Speed A/T,White,White,None reported,Yes,18000.0
1380,GMC,Sierra 1500 SLT,2017,"49,105 mi.",Gasoline,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Black,None reported,Yes,39750.0
1381,BMW,Z4 sDrive28i,2015,"57,550 mi.",Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,White,None reported,Yes,29995.0
1382,FIAT,500X Trekking Plus,2016,"48,500 mi.",Gasoline,180.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,A/T,Yellow,Brown,None reported,Yes,15999.0
1383,FIAT,124 Spider Abarth,2017,"45,000 mi.",Gasoline,164.0HP 1.4L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,Gray,Black,At least 1 accident or damage reported,Yes,22500.0
1384,Mercedes-Benz,GLS 450 Base,2022,"41,545 mi.",Hybrid,3.0 Liter DOHC Twin Turbo,Automatic,MANUFAKTUR Diamond White Bright,Macchiato Beige/Black,None reported,,71998.0
1385,Lincoln,MKC Select,2019,"49,814 mi.",Gasoline,2.0L I4 16V GDI DOHC Turbo,6-Speed Automatic,Ruby Red Metallic Tinted Clearcoat,Cappuccino,None reported,,26545.0
1386,Cadillac,CTS 2.0L Turbo Luxury,2019,"35,566 mi.",Gasoline,265.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Beige,At least 1 accident or damage reported,Yes,26000.0
1387,BMW,M5 Base,2013,"86,000 mi.",Gasoline,560.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Blue,White,None reported,Yes,32000.0
1388,Mercedes-Benz,GL-Class GL 550 4MATIC,2015,"130,000 mi.",Gasoline,429.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,Blue,Black,None reported,Yes,24500.0
1389,Ford,F-250 Platinum,2017,"22,000 mi.",E85 Flex Fuel,385.0HP 6.2L 8 Cylinder Engine Flex Fuel Capability,6-Speed A/T,Beige,Black,At least 1 accident or damage reported,Yes,53000.0
1390,Toyota,Tacoma SR5,2018,"65,290 mi.",Gasoline,278.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Blue,Black,At least 1 accident or damage reported,Yes,26450.0
1391,Cadillac,XTS Luxury,2016,"112,000 mi.",Gasoline,304.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,Blue,Beige,At least 1 accident or damage reported,Yes,14599.0
1392,Hyundai,Genesis Coupe 3.8 Base,2016,"45,303 mi.",Gasoline,348.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Black,None reported,Yes,20999.0
1393,Tesla,Model X 100D,2018,"23,250 mi.",,518.0HP Electric Motor Electric Fuel System,1-Speed A/T,Gray,White,None reported,Yes,57000.0
1394,Chevrolet,Corvette Stingray w/1LT,2023,"4,000 mi.",Gasoline,490.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Red,At least 1 accident or damage reported,Yes,73900.0
1395,Mercedes-Benz,E-Class E 350 4MATIC,2010,"67,800 mi.",Gasoline,268.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,Black,None reported,Yes,13999.0
1396,Lincoln,Navigator L Reserve,2019,"64,855 mi.",Gasoline,450.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,Silver,Beige,None reported,Yes,46995.0
1397,BMW,335 i,2011,"91,500 mi.",Gasoline,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Blue,Beige,At least 1 accident or damage reported,Yes,13599.0
1398,Bentley,Continental GT Base,2012,"79,089 mi.",E85 Flex Fuel,567.0HP 6.0L 12 Cylinder Engine Flex Fuel Capability,A/T,White,Beige,None reported,Yes,46999.0
1399,Honda,CR-V EX,2003,"224,000 mi.",Gasoline,160.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,M/T,Black,Gray,None reported,Yes,3900.0
1400,Chevrolet,Trailblazer LS,2021,"24,965 mi.",Gasoline,1.2L I3 12V GDI DOHC Turbo,Automatic CVT,Mosaic Black Metallic,Jet Black,At least 1 accident or damage reported,Yes,22995.0
1401,Audi,Q7 55 Prestige,2019,"41,000 mi.",Gasoline,329.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,White,Beige,None reported,Yes,39900.0
1402,Ford,Transit-350 XLT,2023,"20,000 mi.",Gasoline,310.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,Black,Black,None reported,Yes,78499.0
1403,Nissan,Altima 2.5 SL,2014,"153,350 mi.",Gasoline,182.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,A/T,Black,Black,At least 1 accident or damage reported,Yes,9000.0
1404,Acura,MDX w/Technology Package,2023,"3,415 mi.",Gasoline,3.5 Liter SOHC,F,White,Parchment.,None reported,,54998.0
1405,INFINITI,QX60 Base,2017,"89,106 mi.",Gasoline,295.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Beige,None reported,Yes,18000.0
1406,MINI,Cooper S Base,2011,"63,500 mi.",Gasoline,181.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,Silver,Black,None reported,Yes,10500.0
1407,Porsche,911 Carrera,2020,"11,256 mi.",Gasoline,379.0HP 3.0L Flat 6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Red,Black,None reported,Yes,124900.0
1408,BMW,X5 xDrive40i,2019,"50,000 mi.",Gasoline,335.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Blue,Gold,None reported,Yes,43000.0
1409,RAM,1500 Big Horn,2021,"35,003 mi.",Gasoline,5.7L V8 16V MPFI OHV,8-Speed Automatic,Bright White Clearcoat,Diesel Gray / Black,None reported,Yes,40999.0
1410,Nissan,Juke SL,2012,"74,750 mi.",Gasoline,188.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,CVT Transmission,Black,Black,None reported,Yes,12500.0
1411,Mercedes-Benz,Sprinter 2500 Standard Roof,2023,"4,000 mi.",Diesel,211.0HP 2.0L 4 Cylinder Engine Diesel Fuel,9-Speed A/T,White,Black,None reported,Yes,65000.0
1412,Acura,TL Type S,2008,"116,500 mi.",Gasoline,286.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Red,Black,None reported,Yes,15999.0
1413,Jeep,Wrangler Sport,2016,"41,000 mi.",Gasoline,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,5-Speed A/T,White,Black,None reported,Yes,25000.0
1414,RAM,ProMaster 2500 Window Van High Roof,2016,"49,750 mi.",Gasoline,280.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Gray,None reported,Yes,65000.0
1415,Nissan,Z Proto Spec,2023,535 mi.,Gasoline,400.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Yellow,Black,None reported,Yes,65990.0
1416,Aston,Martin V8 Vantage Base,2010,"25,991 mi.",Gasoline,420.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Silver,Black,None reported,Yes,69995.0
1417,Lexus,NX 200t Base,2015,"54,000 mi.",Gasoline,235.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,White,Black,None reported,Yes,27000.0
1418,Lincoln,MKX Reserve,2016,"88,000 mi.",Gasoline,335.0HP 2.7L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,None reported,Yes,18500.0
1419,Honda,Civic Type R Touring,2018,"72,900 mi.",Gasoline,306.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,Black,At least 1 accident or damage reported,Yes,35500.0
1420,Chevrolet,Camaro 1SS,2017,"50,850 mi.",Gasoline,455.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,Blue,Black,None reported,Yes,37000.0
1421,Land,Rover LR4 HSE,2013,"79,800 mi.",Gasoline,375.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,A/T,White,Black,None reported,Yes,29990.0
1422,Jeep,Wrangler Sport,2017,"38,200 mi.",Gasoline,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,Red,–,None reported,Yes,29500.0
1423,Jeep,Gladiator Mojave,2022,"24,500 mi.",Gasoline,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Blue,Black,None reported,Yes,64000.0
1424,Ford,Mustang EcoBoost Premium,2019,"31,000 mi.",–,–,6-Speed M/T,Gray,Black,None reported,Yes,34700.0
1425,Audi,A6 2.0T Premium Plus,2016,"68,000 mi.",Gasoline,252.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Black,At least 1 accident or damage reported,Yes,20000.0
1426,Volvo,XC90 3.2,2011,"88,300 mi.",Gasoline,235.0HP 3.2L Straight 6 Cylinder Engine Gasoline Fuel,A/T,Blue,Beige,At least 1 accident or damage reported,Yes,11500.0
1427,Lexus,RX 350 F Sport,2017,"53,649 mi.",Gasoline,295.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Red,None reported,Yes,33000.0
1428,GMC,Acadia Denali,2021,"18,083 mi.",Gasoline,3.6L V6 24V GDI DOHC,9-Speed Automatic,Ebony Twilight Metallic,Jet Black,None reported,Yes,43999.0
1429,Ford,E350 Super Duty XLT,2012,"163,000 mi.",E85 Flex Fuel,255.0HP 5.4L 8 Cylinder Engine Flex Fuel Capability,A/T,White,Gray,None reported,Yes,19550.0
1430,Toyota,Tundra SR5 Double Cab,2005,"199,400 mi.",Gasoline,282.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,A/T,Gray,Gray,At least 1 accident or damage reported,Yes,8500.0
1431,Mercedes-Benz,AMG GT C,2020,"6,600 mi.",Gasoline,550.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Beige,None reported,Yes,128900.0
1432,BMW,X5 xDrive40i,2021,"41,000 mi.",Hybrid,335.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,8-Speed A/T,White,Black,None reported,Yes,50000.0
1433,Jeep,Compass Limited,2020,"39,192 mi.",Gasoline,2.4L I4 16V MPFI SOHC,9-Speed Automatic,White Clearcoat,Black,None reported,,24590.0
1434,Acura,ILX Premium & A-SPEC Packages,2019,"19,500 mi.",Gasoline,201.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,Gray,Black,None reported,Yes,25000.0
1435,Land,Rover Range Rover Velar SVAutobiography Dynamic Edition,2020,"36,500 mi.",Gasoline,550.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Red,None reported,Yes,72000.0
1436,BMW,M5 Base,2018,"31,090 mi.",Gasoline,600.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Green,Black,At least 1 accident or damage reported,Yes,68000.0
1437,Hummer,H2 Base,2005,"145,000 mi.",Gasoline,325.0HP 6.0L 8 Cylinder Engine Gasoline Fuel,4-Speed A/T,Green,Black,None reported,Yes,22500.0
1438,Kia,Stinger GT2,2018,"69,100 mi.",Gasoline,365.0HP 3.3L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Red,Black,None reported,Yes,32500.0
1439,Ford,F-250 XL,2016,"75,200 mi.",E85 Flex Fuel,385.0HP 6.2L 8 Cylinder Engine Flex Fuel Capability,6-Speed A/T,White,Gray,None reported,Yes,22000.0
1440,BMW,X7 ALPINA XB7,2022,"4,514 mi.",Gasoline,4.4 Liter Twin Turbo,Automatic,Gray,Black,None reported,,132998.0
1441,Ford,F-150 Lariat,2017,"74,349 mi.",Gasoline,375.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,White,–,None reported,Yes,36000.0
1442,Porsche,Cayenne Base,2019,"30,951 mi.",Gasoline,3.0L V6 24V GDI DOHC Turbo,8-Speed Automatic,White,Black,None reported,Yes,80140.0
1443,BMW,X7 xDrive40i,2019,"35,248 mi.",Gasoline,3.0 Liter Twin Turbo,Automatic,Arctic Gray Metallic,Black,None reported,,53998.0
1444,BMW,ALPINA B7 ALPINA B7 xDrive,2020,"33,749 mi.",Gasoline,4.4 Liter Twin Turbo,Automatic,Blue,Red,None reported,,85998.0
1445,Kia,Telluride SX,2020,"69,185 mi.",Gasoline,3.8L V6 24V GDI DOHC,8-Speed Automatic,Ebony Black,Gray,None reported,,37405.0
1446,Volkswagen,Arteon 2.0T SE,2021,"13,613 mi.",Gasoline,2.0 Liter TSI,Automatic,Pure White,Titan Black,None reported,,29798.0
1447,Ford,F-150 Lariat,2016,"25,000 mi.",E85 Flex Fuel,385.0HP 5.0L 8 Cylinder Engine Flex Fuel Capability,6-Speed A/T,Gray,Black,None reported,Yes,65000.0
1448,Porsche,Panamera 2,2011,"37,200 mi.",Gasoline,300.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,Beige,None reported,Yes,27500.0
1449,Toyota,Land Cruiser Base,2000,"265,000 mi.",Gasoline,230.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,4-Speed A/T,Black,Beige,None reported,Yes,15500.0
1450,Nissan,Maxima SV,2012,"42,259 mi.",Gasoline,290.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,CVT Transmission,Black,Black,At least 1 accident or damage reported,Yes,17000.0
1451,Porsche,718 Spyder Base,2020,"3,400 mi.",Gasoline,414.0HP 4.0L Flat 6 Cylinder Engine Gasoline Fuel,6-Speed M/T,White,Black,None reported,Yes,129900.0
1452,RAM,1500 Tradesman/Express,2017,"40,200 mi.",Gasoline,395.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,A/T,Blue,Gray,At least 1 accident or damage reported,Yes,24000.0
1453,Nissan,Frontier SV,2012,"65,750 mi.",Gasoline,261.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Gray,At least 1 accident or damage reported,Yes,15995.0
1454,Chevrolet,Silverado 2500 High Country,2022,"18,860 mi.",Diesel,445.0HP 6.6L 8 Cylinder Engine Diesel Fuel,10-Speed A/T,Blue,Gray,None reported,Yes,74500.0
1455,Porsche,Boxster Base,2005,"75,000 mi.",Gasoline,240.0HP 2.7L Flat 6 Cylinder Engine Gasoline Fuel,5-Speed M/T,Silver,Black,,,17500.0
1456,Chevrolet,Corvette Base,2007,"123,500 mi.",Gasoline,400.0HP 6.0L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Red,Beige,At least 1 accident or damage reported,Yes,27000.0
1457,Chevrolet,Camaro 2LT,2010,"86,170 mi.",Gasoline,304.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Black,At least 1 accident or damage reported,Yes,17000.0
1458,RAM,1500 Classic SLT,2021,"32,092 mi.",Gasoline,3.6L V6 24V MPFI DOHC,8-Speed Automatic,Patriot Blue Pearlcoat,Black,None reported,Yes,35113.0
1459,Ford,Mustang GT Premium,2019,"10,400 mi.",Gasoline,460.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,10-Speed A/T,Red,Gray,None reported,Yes,40000.0
1460,Porsche,718 Cayman GT4,2020,"13,554 mi.",Gasoline,414.0HP 4.0L Flat 6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Blue,Black,None reported,Yes,124995.0
1461,Rolls-Royce,Phantom,2018,"7,585 mi.",Gasoline,6.8L V12 48V GDI DOHC Twin Turbo,8-Speed Automatic,–,–,None reported,Yes,599000.0
1462,Acura,TL Type S,2008,"122,000 mi.",Gasoline,286.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,Beige,None reported,Yes,11500.0
1463,Porsche,Macan S,2015,"70,500 mi.",Gasoline,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Silver,Black,At least 1 accident or damage reported,Yes,26500.0
1464,Mazda,Mazda3 s Grand Touring,2016,"85,000 mi.",–,–,A/T,Black,Black,At least 1 accident or damage reported,Yes,18500.0
1465,Honda,S2000 CR,2008,"82,323 mi.",Gasoline,237.0HP 2.2L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,Black,None reported,Yes,28500.0
1466,Mercedes-Benz,CLA-Class CLA 250,2016,"42,750 mi.",Gasoline,208.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,At least 1 accident or damage reported,Yes,22999.0
1467,Audi,A6 55 Premium,2020,"25,300 mi.",Hybrid,335.0HP 3.0L V6 Cylinder Engine Gasoline/Mild Electric Hybrid,7-Speed A/T,White,Beige,None reported,Yes,39900.0
1468,Ford,F-150 Lariat SuperCrew,2004,"271,000 mi.",Gasoline,300.0HP 5.4L 8 Cylinder Engine Gasoline Fuel,A/T,Red,Beige,At least 1 accident or damage reported,Yes,9500.0
1469,Lexus,LC 500 Base,2018,"29,800 mi.",Gasoline,471.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,10-Speed A/T,Black,Black,None reported,Yes,68495.0
1470,Chrysler,300 Touring,2005,"119,000 mi.",Gasoline,250.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Blue,Beige,None reported,Yes,3500.0
1471,BMW,M3 Base,2012,"83,000 mi.",Gasoline,414.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,Red,At least 1 accident or damage reported,Yes,31000.0
1472,Tesla,Model Y Performance,2021,"17,500 mi.",,455.0HP Electric Motor Electric Fuel System,A/T,Gray,White,None reported,Yes,45000.0
1473,GMC,Acadia SLT-1,2012,"116,226 mi.",Gasoline,288.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Black,None reported,Yes,7900.0
1474,Toyota,Highlander XLE,2022,"4,437 mi.",Gasoline,295.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,Black,None reported,Yes,42000.0
1475,Ford,Expedition Platinum,2019,"34,672 mi.",Gasoline,400.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,White,White,None reported,Yes,45500.0
1476,Chevrolet,Express 1500 Work Van,2014,"139,804 mi.",Gasoline,195.0HP 4.3L V6 Cylinder Engine Gasoline Fuel,A/T,White,Gray,At least 1 accident or damage reported,Yes,14500.0
1477,Ford,F-150 Raptor,2018,"64,517 mi.",Gasoline,450.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,Black,Black,None reported,Yes,47995.0
1478,Chevrolet,Corvette Stingray,2015,"25,548 mi.",Gasoline,455.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Gray,Gray,None reported,Yes,49000.0
1479,Jeep,Gladiator Sport S,2022,"23,000 mi.",Gasoline,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,Green,Black,None reported,Yes,43000.0
1480,Land,Rover Discovery HSE,2018,"85,000 mi.",Gasoline,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Gray,Black,None reported,Yes,33000.0
1481,BMW,528 i,2016,"82,000 mi.",Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,Silver,Black,At least 1 accident or damage reported,Yes,16995.0
1482,Lexus,RX 350 F Sport,2016,"81,400 mi.",Gasoline,295.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Gray,Red,At least 1 accident or damage reported,Yes,26000.0
1483,BMW,X5 PHEV xDrive45e,2022,"31,850 mi.",Plug-In Hybrid,389.0HP 3.0L Straight 6 Cylinder Engine Plug-In Electric/Gas,Transmission w/Dual Shift Mode,White,Black,None reported,Yes,60500.0
1484,Porsche,911 Carrera,2023,"19,800 mi.",Gasoline,379.0HP 3.0L Flat 6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Silver,Black,None reported,Yes,134900.0
1485,Subaru,Outback 2.5i Premium,2019,"77,000 mi.",Gasoline,175.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,CVT Transmission,Gray,Gray,At least 1 accident or damage reported,Yes,18749.0
1486,Nissan,Armada Platinum,2022,"8,400 mi.",Gasoline,400.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,Red,Beige,None reported,Yes,59950.0
1487,Chevrolet,Camaro 1LT,2021,"18,000 mi.",Gasoline,335.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,White,Black,At least 1 accident or damage reported,Yes,30000.0
1488,BMW,528 i xDrive,2015,"125,500 mi.",Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Black,Black,At least 1 accident or damage reported,Yes,12950.0
1489,Chevrolet,Avalanche 1500 LTZ,2007,"129,000 mi.",Gasoline,366.0HP 6.0L 8 Cylinder Engine Gasoline Fuel,A/T,White,Beige,None reported,Yes,17950.0
1490,BMW,330e iPerformance,2018,"45,253 mi.",Plug-In Hybrid,247.0HP 2.0L 4 Cylinder Engine Plug-In Electric/Gas,Transmission w/Dual Shift Mode,Black,Black,None reported,Yes,24995.0
1491,Jeep,Gladiator Overland,2020,"9,100 mi.",Gasoline,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Red,Black,None reported,Yes,49895.0
1492,Jeep,Gladiator Rubicon,2020,"27,981 mi.",Gasoline,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,Red,Black,None reported,Yes,47500.0
1493,Audi,S4 3.0T Premium,2019,"18,603 mi.",Gasoline,3.0L V6 24V GDI DOHC Turbo,8-Speed Automatic,Brilliant Black,Black,None reported,,42900.0
1494,Mitsubishi,Eclipse GT,2003,"146,000 mi.",Gasoline,200.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,4-Speed A/T,Gray,Black,At least 1 accident or damage reported,Yes,4200.0
1495,Hyundai,Sonata Sport 2.0T,2015,"82,900 mi.",Gasoline,245.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Black,Black,At least 1 accident or damage reported,Yes,13995.0
1496,Mercedes-Benz,C-Class C300 4MATIC,2021,"11,111 mi.",Gasoline,2.0 Liter Turbo,Automatic,Gray,Black,None reported,,38998.0
1497,Ford,F-150 Platinum,2018,"60,660 mi.",Gasoline,375.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Gold,Black,At least 1 accident or damage reported,Yes,46900.0
1498,Nissan,Armada SV,2017,"187,141 mi.",Gasoline,390.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,16995.0
1499,Ford,F-250 Lariat,2023,"3,763 mi.",Diesel,475.0HP 6.7L 8 Cylinder Engine Diesel Fuel,10-Speed A/T,Red,Black,None reported,Yes,92000.0
1500,Ford,Explorer XLT,2017,"53,000 mi.",E85 Flex Fuel,290.0HP 3.5L V6 Cylinder Engine Flex Fuel Capability,6-Speed A/T,Red,Gray,At least 1 accident or damage reported,Yes,25000.0
1501,Hyundai,Tucson Limited,2008,"149,000 mi.",Gasoline,173.0HP 2.7L V6 Cylinder Engine Gasoline Fuel,4-Speed A/T,Black,Gray,None reported,Yes,3850.0
1502,Rivian,R1S Adventure Package,2023,"2,108 mi.",,835.0HP Electric Motor Electric Fuel System,1-Speed A/T,Silver,White,None reported,Yes,91000.0
1503,Chevrolet,Suburban LTZ,2016,"135,484 mi.",Gasoline,5.3L V8 16V GDI OHV,6-Speed Automatic,Tungsten Metallic,Cocoa / Dune,,,29748.0
1504,Lexus,RC 350 Base,2015,"48,000 mi.",Gasoline,306.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Orange,Red,None reported,Yes,32900.0
1505,BMW,X7 xDrive40i,2023,"14,360 mi.",Hybrid,375.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,8-Speed A/T,Black,Black,None reported,Yes,85495.0
1506,Subaru,BRZ Limited,2013,"46,452 mi.",Gasoline,200.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,Gray,Black,None reported,Yes,22888.0
1507,Land,Rover Range Rover HSE,2011,"174,678 mi.",Gasoline,230.0HP 3.2L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Black,None reported,Yes,9500.0
1508,RAM,2500 Laramie,2018,"98,650 mi.",Diesel,350.0HP 6.7L Straight 6 Cylinder Engine Diesel Fuel,6-Speed A/T,Black,Black,None reported,Yes,56750.0
1509,Chevrolet,Camaro 2SS,2018,"42,780 mi.",Gasoline,455.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,At least 1 accident or damage reported,Yes,41100.0
1510,Ford,Escape PHEV SE,2022,"1,889 mi.",Plug-In Hybrid,221.0HP 2.5L 4 Cylinder Engine Plug-In Electric/Gas,CVT Transmission,White,Gray,None reported,Yes,32850.0
1511,Land,Rover Range Rover Evoque Pure,2015,"84,000 mi.",Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,9-Speed A/T,Beige,Black,At least 1 accident or damage reported,Yes,22800.0
1512,BMW,650 Gran Coupe i xDrive,2015,"69,000 mi.",Gasoline,445.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Gray,Black,None reported,Yes,25700.0
1513,Ford,Bronco XLT,1995,"195,000 mi.",–,–,A/T,Blue,Gray,None reported,Yes,15000.0
1514,Hummer,H2 Base,2008,"155,000 mi.",Gasoline,393.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Green,Black,At least 1 accident or damage reported,Yes,37000.0
1515,Honda,Civic EX,1993,"58,981 mi.",–,–,A/T,White,Beige,None reported,Yes,9599.0
1516,BMW,750 i xDrive,2020,"25,108 mi.",Gasoline,523.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,,,66000.0
1517,Audi,R8 5.2 V10,2021,"6,397 mi.",Gasoline,5.2L V10 40V PDI DOHC,7-Speed Automatic with Auto-Shift,Kemora Gray Metallic,Black / Express Red,None reported,,172900.0
1518,Chevrolet,Suburban RST,2022,"21,400 mi.",Diesel,277.0HP 3.0L Straight 6 Cylinder Engine Diesel Fuel,10-Speed A/T,Gray,Black,None reported,Yes,69000.0
1519,Land,Rover Range Rover P400 SE SWB,2022,"3,369 mi.",Hybrid,395.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,A/T,White,Black,None reported,Yes,139500.0
1520,Lexus,LX 600 Premium,2023,"1,500 mi.",Gasoline,409.0HP 3.4L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,Gray,Black,,,119500.0
1521,Mercedes-Benz,GLC 300 GLC 300,2022,"11,875 mi.",Gasoline,2.0 Liter Turbo,Automatic,Black,Black,None reported,,41598.0
1522,Ferrari,California T,2015,"20,000 mi.",Gasoline,553.0HP 3.9L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,Red,Brown,At least 1 accident or damage reported,Yes,124990.0
